"","Ano da eleição","UF","Cargo","Cadeiras oferecidas","Votos válidos","Sigla do partido","Votos do partido","Quociente eleitoral","Quociente partidário"
"211",2006,"AL","Deputado Estadual",27,"1.391.216","PSDB","96.131","51.526,51","1,87"
"212",2006,"AL","Deputado Estadual",27,"1.391.216","PSDC","877","51.526,51","0,02"
"213",2006,"AL","Deputado Estadual",27,"1.391.216","PSOL","13.317","51.526,51","0,26"
"214",2006,"AL","Deputado Estadual",27,"1.391.216","PSTU","328","51.526,51","0,01"
"215",2006,"AL","Deputado Estadual",27,"1.391.216","PT","45.717","51.526,51","0,89"
"216",2006,"AL","Deputado Estadual",27,"1.391.216","PT do B","119.219","51.526,51","2,31"
"217",2006,"AL","Deputado Estadual",27,"1.391.216","PTB","74.693","51.526,51","1,45"
"218",2006,"AL","Deputado Estadual",27,"1.391.216","PTC","1.223","51.526,51","0,02"
"219",2006,"AL","Deputado Estadual",27,"1.391.216","PTN","1.444","51.526,51","0,03"
"220",2006,"AL","Deputado Estadual",27,"1.391.216","PV","3.622","51.526,51","0,07"
"221",2010,"AL","Deputado Estadual",27,"1.459.821","DEM","98.126","54.067,44","1,81"
"222",2010,"AL","Deputado Estadual",27,"1.459.821","PC do B","6.213","54.067,44","0,11"
"223",2010,"AL","Deputado Estadual",27,"1.459.821","PCB","1.462","54.067,44","0,03"
"224",2010,"AL","Deputado Estadual",27,"1.459.821","PDT","137.598","54.067,44","2,54"
"225",2010,"AL","Deputado Estadual",27,"1.459.821","PHS","873","54.067,44","0,02"
"226",2010,"AL","Deputado Estadual",27,"1.459.821","PMDB","119.770","54.067,44","2,22"
"227",2010,"AL","Deputado Estadual",27,"1.459.821","PMN","59.681","54.067,44","1,1"
"228",2010,"AL","Deputado Estadual",27,"1.459.821","PP","21.956","54.067,44","0,41"
"229",2010,"AL","Deputado Estadual",27,"1.459.821","PPS","99.493","54.067,44","1,84"
"230",2010,"AL","Deputado Estadual",27,"1.459.821","PR","7.140","54.067,44","0,13"
"231",2010,"AL","Deputado Estadual",27,"1.459.821","PRB","17.309","54.067,44","0,32"
"232",2010,"AL","Deputado Estadual",27,"1.459.821","PRP","4.925","54.067,44","0,09"
"233",2010,"AL","Deputado Estadual",27,"1.459.821","PRTB","87.025","54.067,44","1,61"
"234",2010,"AL","Deputado Estadual",27,"1.459.821","PSB","52.062","54.067,44","0,96"
"235",2010,"AL","Deputado Estadual",27,"1.459.821","PSC","38.674","54.067,44","0,72"
"236",2010,"AL","Deputado Estadual",27,"1.459.821","PSDB","262.054","54.067,44","4,85"
"237",2010,"AL","Deputado Estadual",27,"1.459.821","PSDC","452","54.067,44","0,01"
"238",2010,"AL","Deputado Estadual",27,"1.459.821","PSL","18.126","54.067,44","0,34"
"239",2010,"AL","Deputado Estadual",27,"1.459.821","PSOL","19.110","54.067,44","0,35"
"240",2010,"AL","Deputado Estadual",27,"1.459.821","PT","149.161","54.067,44","2,76"
"241",2010,"AL","Deputado Estadual",27,"1.459.821","PT do B","117.458","54.067,44","2,17"
"242",2010,"AL","Deputado Estadual",27,"1.459.821","PTB","85.330","54.067,44","1,58"
"243",2010,"AL","Deputado Estadual",27,"1.459.821","PTC","1.051","54.067,44","0,02"
"244",2010,"AL","Deputado Estadual",27,"1.459.821","PTN","37.300","54.067,44","0,69"
"245",2010,"AL","Deputado Estadual",27,"1.459.821","PV","17.472","54.067,44","0,32"
"246",2014,"AL","Deputado Estadual",27,"1.430.572","DEM","87.651","52.984,15","1,65"
"247",2014,"AL","Deputado Estadual",27,"1.430.572","PC do B","8.115","52.984,15","0,15"
"248",2014,"AL","Deputado Estadual",27,"1.430.572","PDT","107.840","52.984,15","2,04"
"249",2014,"AL","Deputado Estadual",27,"1.430.572","PHS","11.532","52.984,15","0,22"
"250",2014,"AL","Deputado Estadual",27,"1.430.572","PMDB","171.761","52.984,15","3,24"
"251",2014,"AL","Deputado Estadual",27,"1.430.572","PMN","26.469","52.984,15","0,5"
"252",2014,"AL","Deputado Estadual",27,"1.430.572","PP","52.536","52.984,15","0,99"
"253",2014,"AL","Deputado Estadual",27,"1.430.572","PPL","28.456","52.984,15","0,54"
"254",2014,"AL","Deputado Estadual",27,"1.430.572","PPS","69.542","52.984,15","1,31"
"255",2014,"AL","Deputado Estadual",27,"1.430.572","PR","4.849","52.984,15","0,09"
"256",2014,"AL","Deputado Estadual",27,"1.430.572","PRB","53.397","52.984,15","1,01"
"257",2014,"AL","Deputado Estadual",27,"1.430.572","PROS","80.189","52.984,15","1,51"
"258",2014,"AL","Deputado Estadual",27,"1.430.572","PRP","2.848","52.984,15","0,05"
"259",2014,"AL","Deputado Estadual",27,"1.430.572","PRTB","142.019","52.984,15","2,68"
"260",2014,"AL","Deputado Estadual",27,"1.430.572","PSB","100.476","52.984,15","1,9"
"261",2014,"AL","Deputado Estadual",27,"1.430.572","PSC","32.542","52.984,15","0,61"
"262",2014,"AL","Deputado Estadual",27,"1.430.572","PSD","79.424","52.984,15","1,5"
"263",2014,"AL","Deputado Estadual",27,"1.430.572","PSDB","190.572","52.984,15","3,6"
"264",2014,"AL","Deputado Estadual",27,"1.430.572","PSDC","1.471","52.984,15","0,03"
"265",2014,"AL","Deputado Estadual",27,"1.430.572","PSL","603","52.984,15","0,01"
"266",2014,"AL","Deputado Estadual",27,"1.430.572","PSOL","6.640","52.984,15","0,13"
"267",2014,"AL","Deputado Estadual",27,"1.430.572","PSTU","2.355","52.984,15","0,04"
"268",2014,"AL","Deputado Estadual",27,"1.430.572","PT","99.305","52.984,15","1,87"
"269",2014,"AL","Deputado Estadual",27,"1.430.572","PT do B","3.855","52.984,15","0,07"
"270",2014,"AL","Deputado Estadual",27,"1.430.572","PTB","43.217","52.984,15","0,82"
"271",2014,"AL","Deputado Estadual",27,"1.430.572","PTC","3.192","52.984,15","0,06"
"272",2014,"AL","Deputado Estadual",27,"1.430.572","PV","2.024","52.984,15","0,04"
"273",2014,"AL","Deputado Estadual",27,"1.430.572","SD","17.692","52.984,15","0,33"
"274",2018,"AL","Deputado Estadual",27,"1.501.786","AVANTE","37.102","55.621,69","0,67"
"275",2018,"AL","Deputado Estadual",27,"1.501.786","DC","735","55.621,69","0,01"
"276",2018,"AL","Deputado Estadual",27,"1.501.786","DEM","30.571","55.621,69","0,55"
"277",2018,"AL","Deputado Estadual",27,"1.501.786","MDB","290.810","55.621,69","5,23"
"278",2018,"AL","Deputado Estadual",27,"1.501.786","PATRI","9.109","55.621,69","0,16"
"279",2018,"AL","Deputado Estadual",27,"1.501.786","PC do B","9.085","55.621,69","0,16"
"280",2018,"AL","Deputado Estadual",27,"1.501.786","PCB","1.054","55.621,69","0,02"
"281",2018,"AL","Deputado Estadual",27,"1.501.786","PDT","50.342","55.621,69","0,91"
"282",2018,"AL","Deputado Estadual",27,"1.501.786","PHS","12.350","55.621,69","0,22"
"283",2018,"AL","Deputado Estadual",27,"1.501.786","PMN","27.826","55.621,69","0,5"
"284",2018,"AL","Deputado Estadual",27,"1.501.786","PODE","6.368","55.621,69","0,11"
"285",2018,"AL","Deputado Estadual",27,"1.501.786","PP","153.612","55.621,69","2,76"
"286",2018,"AL","Deputado Estadual",27,"1.501.786","PPL","35.642","55.621,69","0,64"
"287",2018,"AL","Deputado Estadual",27,"1.501.786","PPS","33.427","55.621,69","0,6"
"288",2018,"AL","Deputado Estadual",27,"1.501.786","PR","27.686","55.621,69","0,5"
"289",2018,"AL","Deputado Estadual",27,"1.501.786","PRB","38.274","55.621,69","0,69"
"290",2018,"AL","Deputado Estadual",27,"1.501.786","PROS","30.692","55.621,69","0,55"
"291",2018,"AL","Deputado Estadual",27,"1.501.786","PRP","1.224","55.621,69","0,02"
"292",2018,"AL","Deputado Estadual",27,"1.501.786","PRTB","213.650","55.621,69","3,84"
"293",2018,"AL","Deputado Estadual",27,"1.501.786","PSB","11.558","55.621,69","0,21"
"294",2018,"AL","Deputado Estadual",27,"1.501.786","PSC","8.057","55.621,69","0,14"
"295",2018,"AL","Deputado Estadual",27,"1.501.786","PSD","101.894","55.621,69","1,83"
"296",2018,"AL","Deputado Estadual",27,"1.501.786","PSDB","103.608","55.621,69","1,86"
"297",2018,"AL","Deputado Estadual",27,"1.501.786","PSL","48.122","55.621,69","0,87"
"298",2018,"AL","Deputado Estadual",27,"1.501.786","PSOL","18.307","55.621,69","0,33"
"299",2018,"AL","Deputado Estadual",27,"1.501.786","PSTU","754","55.621,69","0,01"
"300",2018,"AL","Deputado Estadual",27,"1.501.786","PT","47.600","55.621,69","0,86"
