"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas por UF"
"227",2002,"DEPUTADO FEDERAL","PL","AM",3
"228",2002,"DEPUTADO FEDERAL","PL","CE",2
"229",2002,"DEPUTADO FEDERAL","PL","ES",1
"230",2002,"DEPUTADO FEDERAL","PL","MA",1
"231",2002,"DEPUTADO FEDERAL","PL","MG",4
"232",2002,"DEPUTADO FEDERAL","PL","MT",1
"233",2002,"DEPUTADO FEDERAL","PL","PA",1
"234",2002,"DEPUTADO FEDERAL","PL","PB",1
"235",2002,"DEPUTADO FEDERAL","PL","PE",1
"236",2002,"DEPUTADO FEDERAL","PL","PR",1
"237",2002,"DEPUTADO FEDERAL","PL","RJ",3
"238",2002,"DEPUTADO FEDERAL","PL","RR",1
"239",2002,"DEPUTADO FEDERAL","PL","RS",1
"240",2002,"DEPUTADO FEDERAL","PL","SE",1
"241",2002,"DEPUTADO FEDERAL","PL","SP",3
"242",2002,"DEPUTADO FEDERAL","PMDB","AC",2
"243",2002,"DEPUTADO FEDERAL","PMDB","AL",1
"244",2002,"DEPUTADO FEDERAL","PMDB","BA",3
"245",2002,"DEPUTADO FEDERAL","PMDB","CE",5
"246",2002,"DEPUTADO FEDERAL","PMDB","DF",3
"247",2002,"DEPUTADO FEDERAL","PMDB","ES",1
"248",2002,"DEPUTADO FEDERAL","PMDB","GO",4
"249",2002,"DEPUTADO FEDERAL","PMDB","MA",2
"250",2002,"DEPUTADO FEDERAL","PMDB","MG",6
"251",2002,"DEPUTADO FEDERAL","PMDB","MS",2
"252",2002,"DEPUTADO FEDERAL","PMDB","MT",1
"253",2002,"DEPUTADO FEDERAL","PMDB","PA",5
"254",2002,"DEPUTADO FEDERAL","PMDB","PB",2
"255",2002,"DEPUTADO FEDERAL","PMDB","PE",4
"256",2002,"DEPUTADO FEDERAL","PMDB","PI",2
"257",2002,"DEPUTADO FEDERAL","PMDB","PR",6
"258",2002,"DEPUTADO FEDERAL","PMDB","RJ",6
"259",2002,"DEPUTADO FEDERAL","PMDB","RN",3
"260",2002,"DEPUTADO FEDERAL","PMDB","RO",2
"261",2002,"DEPUTADO FEDERAL","PMDB","RS",6
"262",2002,"DEPUTADO FEDERAL","PMDB","SC",4
"263",2002,"DEPUTADO FEDERAL","PMDB","SE",1
"264",2002,"DEPUTADO FEDERAL","PMDB","SP",4
"265",2002,"DEPUTADO FEDERAL","PMDB","TO",1
"266",2002,"DEPUTADO FEDERAL","PMN","SE",1
"267",2002,"DEPUTADO FEDERAL","PPB","AC",1
"268",2002,"DEPUTADO FEDERAL","PPB","AP",1
"269",2002,"DEPUTADO FEDERAL","PPB","BA",2
"270",2002,"DEPUTADO FEDERAL","PPB","CE",1
"271",2002,"DEPUTADO FEDERAL","PPB","ES",2
"272",2002,"DEPUTADO FEDERAL","PPB","GO",3
"273",2002,"DEPUTADO FEDERAL","PPB","MA",1
"274",2002,"DEPUTADO FEDERAL","PPB","MG",4
"275",2002,"DEPUTADO FEDERAL","PPB","MT",1
"276",2002,"DEPUTADO FEDERAL","PPB","PA",1
"277",2002,"DEPUTADO FEDERAL","PPB","PB",1
"278",2002,"DEPUTADO FEDERAL","PPB","PE",3
"279",2002,"DEPUTADO FEDERAL","PPB","PR",4
"280",2002,"DEPUTADO FEDERAL","PPB","RJ",6
"281",2002,"DEPUTADO FEDERAL","PPB","RN",1
"282",2002,"DEPUTADO FEDERAL","PPB","RR",1
"283",2002,"DEPUTADO FEDERAL","PPB","RS",6
"284",2002,"DEPUTADO FEDERAL","PPB","SC",4
"285",2002,"DEPUTADO FEDERAL","PPB","SE",1
"286",2002,"DEPUTADO FEDERAL","PPB","SP",3
"287",2002,"DEPUTADO FEDERAL","PPB","TO",1
"288",2002,"DEPUTADO FEDERAL","PPS","AC",1
"289",2002,"DEPUTADO FEDERAL","PPS","BA",1
"290",2002,"DEPUTADO FEDERAL","PPS","CE",1
"291",2002,"DEPUTADO FEDERAL","PPS","MG",3
"292",2002,"DEPUTADO FEDERAL","PPS","MS",1
"293",2002,"DEPUTADO FEDERAL","PPS","PE",1
"294",2002,"DEPUTADO FEDERAL","PPS","PR",2
"295",2002,"DEPUTADO FEDERAL","PPS","RO",1
"296",2002,"DEPUTADO FEDERAL","PPS","RS",1
"297",2002,"DEPUTADO FEDERAL","PPS","SP",3
"298",2002,"DEPUTADO FEDERAL","PRONA","SP",6
"299",2002,"DEPUTADO FEDERAL","PSB","AL",2
"300",2002,"DEPUTADO FEDERAL","PSB","AP",1
"301",2002,"DEPUTADO FEDERAL","PSB","ES",1
"302",2002,"DEPUTADO FEDERAL","PSB","MA",1
"303",2002,"DEPUTADO FEDERAL","PSB","MG",1
"304",2002,"DEPUTADO FEDERAL","PSB","PE",4
"305",2002,"DEPUTADO FEDERAL","PSB","RJ",6
"306",2002,"DEPUTADO FEDERAL","PSB","RS",1
"307",2002,"DEPUTADO FEDERAL","PSB","SP",5
"308",2002,"DEPUTADO FEDERAL","PSC","RJ",1
"309",2002,"DEPUTADO FEDERAL","PSD","DF",1
"310",2002,"DEPUTADO FEDERAL","PSD","PB",1
"311",2002,"DEPUTADO FEDERAL","PSD","RJ",1
"312",2002,"DEPUTADO FEDERAL","PSD","TO",1
"313",2002,"DEPUTADO FEDERAL","PSDB","AL",1
"314",2002,"DEPUTADO FEDERAL","PSDB","AP",1
"315",2002,"DEPUTADO FEDERAL","PSDB","BA",2
"316",2002,"DEPUTADO FEDERAL","PSDB","CE",8
"317",2002,"DEPUTADO FEDERAL","PSDB","ES",2
"318",2002,"DEPUTADO FEDERAL","PSDB","GO",5
"319",2002,"DEPUTADO FEDERAL","PSDB","MA",2
"320",2002,"DEPUTADO FEDERAL","PSDB","MG",8
"321",2002,"DEPUTADO FEDERAL","PSDB","MT",3
"322",2002,"DEPUTADO FEDERAL","PSDB","PA",4
"323",2002,"DEPUTADO FEDERAL","PSDB","PB",3
"324",2002,"DEPUTADO FEDERAL","PSDB","PE",3
"325",2002,"DEPUTADO FEDERAL","PSDB","PI",2
"326",2002,"DEPUTADO FEDERAL","PSDB","PR",5
"327",2002,"DEPUTADO FEDERAL","PSDB","RJ",5
"328",2002,"DEPUTADO FEDERAL","PSDB","RO",1
"329",2002,"DEPUTADO FEDERAL","PSDB","RS",1
"330",2002,"DEPUTADO FEDERAL","PSDB","SE",1
"331",2002,"DEPUTADO FEDERAL","PSDB","SP",11
"332",2002,"DEPUTADO FEDERAL","PSDB","TO",2
"333",2002,"DEPUTADO FEDERAL","PSDC","RJ",1
"334",2002,"DEPUTADO FEDERAL","PSL","MG",1
"335",2002,"DEPUTADO FEDERAL","PST","MG",2
"336",2002,"DEPUTADO FEDERAL","PST","RR",1
"337",2002,"DEPUTADO FEDERAL","PT","AC",3
"338",2002,"DEPUTADO FEDERAL","PT","AP",2
"339",2002,"DEPUTADO FEDERAL","PT","BA",7
"340",2002,"DEPUTADO FEDERAL","PT","CE",2
"341",2002,"DEPUTADO FEDERAL","PT","DF",2
"342",2002,"DEPUTADO FEDERAL","PT","ES",1
"343",2002,"DEPUTADO FEDERAL","PT","GO",2
"344",2002,"DEPUTADO FEDERAL","PT","MA",1
