"","Município - UF"
"498","Pedrão - BA"
"499","Pedro Alexandre - BA"
"500","Piatã - BA"
"501","Pilão Arcado - BA"
"502","Pindaí - BA"
"503","Pindobaçu - BA"
"504","Pintadas - BA"
"505","Piraí do Norte - BA"
"506","Piripá - BA"
"507","Piritiba - BA"
"508","Planaltino - BA"
"509","Planalto - BA"
"510","Poções - BA"
"511","Pojuca - BA"
"512","Ponto Novo - BA"
"513","Porto Seguro - BA"
"514","Potiraguá - BA"
"515","Prado - BA"
"516","Presidente Dutra - BA"
"517","Presidente Jânio Quadros - BA"
"518","Presidente Tancredo Neves - BA"
"519","Queimadas - BA"
"520","Quijingue - BA"
"521","Quixabeira - BA"
"522","Rafael Jambeiro - BA"
"523","Remanso - BA"
"524","Retirolândia - BA"
"525","Riachão das Neves - BA"
"526","Riachão do Jacuípe - BA"
"527","Riacho de Santana - BA"
"528","Ribeira do Amparo - BA"
"529","Ribeira do Pombal - BA"
"530","Ribeirão do Largo - BA"
"531","Rio de Contas - BA"
"532","Rio do Antônio - BA"
"533","Rio do Pires - BA"
"534","Rio Real - BA"
"535","Rodelas - BA"
"536","Ruy Barbosa - BA"
"537","Salinas da Margarida - BA"
"538","Salvador - BA"
"539","Santa Bárbara - BA"
"540","Santa Brígida - BA"
"541","Santa Cruz Cabrália - BA"
"542","Santa Cruz da Vitória - BA"
"543","Santa Inês - BA"
"544","Santa Luzia - BA"
"545","Santa Maria da Vitória - BA"
"546","Santa Rita de Cássia - BA"
"547","Santa Teresinha - BA"
"548","Santaluz - BA"
"549","Santana - BA"
"550","Santanópolis - BA"
"551","Santo Amaro - BA"
"552","Santo Antônio de Jesus - BA"
"553","Santo Estêvão - BA"
"554","São Desidério - BA"
"555","São Domingos - BA"
"556","São Felipe - BA"
"557","São Félix - BA"
"558","São Félix do Coribe - BA"
"559","São Francisco do Conde - BA"
"560","São Gabriel - BA"
"561","São Gonçalo dos Campos - BA"
"562","São José da Vitória - BA"
"563","São José do Jacuípe - BA"
"564","São Miguel das Matas - BA"
"565","São Sebastião do Passé - BA"
"566","Sapeaçu - BA"
"567","Sátiro Dias - BA"
"568","Saubara - BA"
"569","Saúde - BA"
"570","Seabra - BA"
"571","Sebastião Laranjeiras - BA"
"572","Senhor do Bonfim - BA"
"573","Sento Sé - BA"
"574","Serra do Ramalho - BA"
"575","Serra Dourada - BA"
"576","Serra Preta - BA"
"577","Serrinha - BA"
"578","Serrolândia - BA"
"579","Simões Filho - BA"
"580","Sítio do Mato - BA"
"581","Sítio do Quinto - BA"
"582","Sobradinho - BA"
"583","Souto Soares - BA"
"584","Tabocas do Brejo Velho - BA"
"585","Tanhaçu - BA"
"586","Tanque Novo - BA"
"587","Tanquinho - BA"
"588","Taperoá - BA"
"589","Tapiramutá - BA"
"590","Teixeira de Freitas - BA"
"591","Teodoro Sampaio - BA"
"592","Teofilândia - BA"
"593","Teolândia - BA"
"594","Terra Nova - BA"
"595","Tremedal - BA"
"596","Tucano - BA"
"597","Uauá - BA"
"598","Ubaíra - BA"
"599","Ubaitaba - BA"
"600","Ubatã - BA"
