"","Ano da eleição","UF","Cargo","Volatilidade eleitoral","Volatilidade parlamentar"
"251",2018,"ES","Deputado Estadual","16,03","16,03"
"252",2018,"GO","Deputado Estadual","16,01","16,01"
"253",2018,"MA","Deputado Estadual","17,05","17,06"
"254",2018,"MG","Deputado Estadual","17,55","17,56"
"255",2018,"MS","Deputado Estadual","15,00","15,00"
"256",2018,"MT","Deputado Estadual","15,63","15,62"
"257",2018,"PA","Deputado Estadual","16,54","16,54"
"258",2018,"PB","Deputado Estadual","15,46","15,44"
"259",2018,"PE","Deputado Estadual","17,01","17,01"
"260",2018,"PI","Deputado Estadual","16,50","16,50"
"261",2018,"PR","Deputado Estadual","16,53","16,54"
"262",2018,"RJ","Deputado Estadual","17,54","17,53"
"263",2018,"RN","Deputado Estadual","16,08","16,08"
"264",2018,"RO","Deputado Estadual","14,50","14,50"
"265",2018,"RR","Deputado Estadual","16,04","16,02"
"266",2018,"RS","Deputado Estadual","17,10","17,09"
"267",2018,"SC","Deputado Estadual","16,54","16,54"
"268",2018,"SE","Deputado Estadual","16,05","16,06"
"269",2018,"SP","Deputado Estadual","17,55","17,56"
"270",2018,"TO","Deputado Estadual","15,52","15,52"
