"","Ano da eleição","UF","Cargo","Quantidade de abstenções","Quantidade de votos brancos","Quantidade de votos nulos","Quantidade de eleitores aptos","Alienação Absoluta","Alienação Percentual"
"149",2018,"PA","Deputado Estadual",1096978,147491,202935,5497589,"1.447.404",26.33
"150",2018,"PB","Deputado Estadual",431016,136764,225134,2866493,"792.914",27.66
"151",2018,"PE","Deputado Estadual",1175896,301226,562895,6567535,"2.40.017",31.06
"152",2018,"PI","Deputado Estadual",372423,67747,108596,2370010,"548.766",23.15
"153",2018,"PR","Deputado Estadual",1351508,448289,456832,7968409,"2.256.629",28.32
"154",2018,"RJ","Deputado Estadual",2926758,628772,929182,12401199,"4.484.712",36.16
"155",2018,"RN","Deputado Estadual",406098,88645,184168,2372548,"678.911",28.62
"156",2018,"RO","Deputado Estadual",262219,34493,42634,1175133,"339.346",28.88
"157",2018,"RR","Deputado Estadual",46399,3900,5712,333153,"56.011",16.81
"158",2018,"RS","Deputado Estadual",1514852,581380,368241,8350718,"2.464.473",29.51
"159",2018,"SC","Deputado Estadual",826754,268999,289759,5068421,"1.385.512",27.34
"160",2018,"SE","Deputado Estadual",296770,60607,127446,1576352,"484.823",30.76
"161",2018,"SP","Deputado Estadual",7111052,2137781,2782946,33032372,"12.31.779",36.42
"162",2018,"TO","Deputado Estadual",207540,19634,62862,1038754,"290.036",27.92
