"","Ano da eleição","UF","Cargo","Sigla do partido","Cadeiras conquistadas por UF","Total de cadeiras conquistadas","Percentual de cadeiras"
"156",1998,"PI","Deputado Federal","PT",1,59,0.115009746588694
"157",1998,"PR","Deputado Federal","PT",3,59,0.115009746588694
"158",1998,"RJ","Deputado Federal","PT",4,59,0.115009746588694
"159",1998,"RS","Deputado Federal","PT",8,59,0.115009746588694
"160",1998,"SC","Deputado Federal","PT",2,59,0.115009746588694
"161",1998,"SE","Deputado Federal","PT",1,59,0.115009746588694
"162",1998,"SP","Deputado Federal","PT",14,59,0.115009746588694
"163",1998,"AL","Deputado Federal","PTB",1,31,0.0604288499025341
"164",1998,"AP","Deputado Federal","PTB",1,31,0.0604288499025341
"165",1998,"BA","Deputado Federal","PTB",1,31,0.0604288499025341
"166",1998,"ES","Deputado Federal","PTB",3,31,0.0604288499025341
"167",1998,"MG","Deputado Federal","PTB",2,31,0.0604288499025341
"168",1998,"MS","Deputado Federal","PTB",1,31,0.0604288499025341
"169",1998,"MT","Deputado Federal","PTB",1,31,0.0604288499025341
"170",1998,"PA","Deputado Federal","PTB",1,31,0.0604288499025341
"171",1998,"PB","Deputado Federal","PTB",1,31,0.0604288499025341
"172",1998,"PE","Deputado Federal","PTB",1,31,0.0604288499025341
"173",1998,"PR","Deputado Federal","PTB",6,31,0.0604288499025341
"174",1998,"RJ","Deputado Federal","PTB",2,31,0.0604288499025341
"175",1998,"RO","Deputado Federal","PTB",1,31,0.0604288499025341
"176",1998,"RR","Deputado Federal","PTB",1,31,0.0604288499025341
"177",1998,"RS","Deputado Federal","PTB",3,31,0.0604288499025341
"178",1998,"SP","Deputado Federal","PTB",5,31,0.0604288499025341
"179",1998,"RJ","Deputado Federal","PV",1,1,0.00194931773879142
"180",2002,"AC","Deputado Federal","PC do B",1,12,0.0233918128654971
"181",2002,"AM","Deputado Federal","PC do B",1,12,0.0233918128654971
"182",2002,"BA","Deputado Federal","PC do B",2,12,0.0233918128654971
"183",2002,"CE","Deputado Federal","PC do B",1,12,0.0233918128654971
"184",2002,"DF","Deputado Federal","PC do B",1,12,0.0233918128654971
"185",2002,"MG","Deputado Federal","PC do B",1,12,0.0233918128654971
