"","ANO_ELEICAO","UF","SIGLA_PARTIDO","VOT_PART_UF"
"646",2002,"AL","PPS",42274
"647",2002,"AL","PRONA",37651
"648",2002,"AL","PRP",2758
"649",2002,"AL","PRTB",62381
"650",2002,"AL","PSB",202556
"651",2002,"AL","PSC",404
"652",2002,"AL","PSDB",94736
"653",2002,"AL","PSDC",216
"654",2002,"AL","PSL",2726
"655",2002,"AL","PST",556
"656",2002,"AL","PSTU",1699
"657",2002,"AL","PT",50034
"658",2002,"AL","PT do B",4003
"659",2002,"AL","PTB",235003
"660",2002,"AL","PTC",1581
"661",2002,"AL","PTN",1112
"662",2002,"AL","PV",1074
"663",2002,"AM","PAN",1755
"664",2002,"AM","PC do B",200850
"665",2002,"AM","PCB",1106
"666",2002,"AM","PDT",11456
"667",2002,"AM","PFL",369717
"668",2002,"AM","PGT",796
"669",2002,"AM","PHS",1297
"670",2002,"AM","PL",257729
"671",2002,"AM","PMDB",13314
"672",2002,"AM","PMN",2053
"673",2002,"AM","PPB",3430
"674",2002,"AM","PPS",9475
"675",2002,"AM","PRONA",1998
"676",2002,"AM","PRP",1512
"677",2002,"AM","PRTB",8241
"678",2002,"AM","PSB",4342
"679",2002,"AM","PSC",24367
"680",2002,"AM","PSDB",11559
"681",2002,"AM","PSDC",2420
"682",2002,"AM","PSL",59992
"683",2002,"AM","PST",7742
"684",2002,"AM","PSTU",1609
"685",2002,"AM","PT",22532
"686",2002,"AM","PT do B",10741
"687",2002,"AM","PTB",114519
"688",2002,"AM","PTC",2143
"689",2002,"AM","PTN",274
"690",2002,"AM","PV",1923
"691",2002,"AP","PAN",377
"692",2002,"AP","PC do B",421
"693",2002,"AP","PCB",212
"694",2002,"AP","PDT",42305
"695",2002,"AP","PFL",4440
"696",2002,"AP","PHS",402
"697",2002,"AP","PL",21425
"698",2002,"AP","PMDB",17233
"699",2002,"AP","PMN",391
"700",2002,"AP","PPB",25392
"701",2002,"AP","PPS",2277
"702",2002,"AP","PRONA",41
"703",2002,"AP","PRP",346
"704",2002,"AP","PRTB",1027
"705",2002,"AP","PSB",41414
"706",2002,"AP","PSC",249
"707",2002,"AP","PSD",8271
"708",2002,"AP","PSDB",18493
"709",2002,"AP","PSL",7462
"710",2002,"AP","PST",190
"711",2002,"AP","PSTU",787
"712",2002,"AP","PT",32642
"713",2002,"AP","PT do B",235
