"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas"
"188",1998,"DEPUTADO ESTADUAL","PSDB","MT",6
"189",1998,"DEPUTADO ESTADUAL","PSDB","PA",8
"190",1998,"DEPUTADO ESTADUAL","PSDB","PB",5
"191",1998,"DEPUTADO ESTADUAL","PSDB","PE",6
"192",1998,"DEPUTADO ESTADUAL","PSDB","PI",4
"193",1998,"DEPUTADO ESTADUAL","PSDB","PR",6
"194",1998,"DEPUTADO ESTADUAL","PSDB","RJ",15
"195",1998,"DEPUTADO ESTADUAL","PSDB","RN",1
"196",1998,"DEPUTADO ESTADUAL","PSDB","RO",3
"197",1998,"DEPUTADO ESTADUAL","PSDB","RR",1
"198",1998,"DEPUTADO ESTADUAL","PSDB","RS",2
"199",1998,"DEPUTADO ESTADUAL","PSDB","SC",3
"200",1998,"DEPUTADO ESTADUAL","PSDB","SE",4
"201",1998,"DEPUTADO ESTADUAL","PSDB","SP",21
"202",1998,"DEPUTADO ESTADUAL","PSDC","AM",2
"203",1998,"DEPUTADO ESTADUAL","PSDC","PE",1
"204",1998,"DEPUTADO ESTADUAL","PSL","AL",3
"205",1998,"DEPUTADO ESTADUAL","PSL","AP",1
"206",1998,"DEPUTADO ESTADUAL","PSL","PB",1
"207",1998,"DEPUTADO ESTADUAL","PSL","PE",1
"208",1998,"DEPUTADO ESTADUAL","PSL","RR",4
"209",1998,"DEPUTADO ESTADUAL","PSN","MG",1
"210",1998,"DEPUTADO ESTADUAL","PST","GO",2
"211",1998,"DEPUTADO ESTADUAL","PST","MA",1
"212",1998,"DEPUTADO ESTADUAL","PST","MG",1
"213",1998,"DEPUTADO ESTADUAL","PT","AC",3
"214",1998,"DEPUTADO ESTADUAL","PT","AL",2
"215",1998,"DEPUTADO ESTADUAL","PT","AM",1
"216",1998,"DEPUTADO ESTADUAL","PT","AP",2
"217",1998,"DEPUTADO ESTADUAL","PT","BA",6
"218",1998,"DEPUTADO ESTADUAL","PT","CE",3
"219",1998,"DEPUTADO ESTADUAL","PT","ES",1
"220",1998,"DEPUTADO ESTADUAL","PT","GO",1
"221",1998,"DEPUTADO ESTADUAL","PT","MA",1
"222",1998,"DEPUTADO ESTADUAL","PT","MG",5
"223",1998,"DEPUTADO ESTADUAL","PT","MS",1
"224",1998,"DEPUTADO ESTADUAL","PT","MT",2
"225",1998,"DEPUTADO ESTADUAL","PT","PA",4
"226",1998,"DEPUTADO ESTADUAL","PT","PB",3
"227",1998,"DEPUTADO ESTADUAL","PT","PE",3
"228",1998,"DEPUTADO ESTADUAL","PT","PI",1
"229",1998,"DEPUTADO ESTADUAL","PT","PR",4
"230",1998,"DEPUTADO ESTADUAL","PT","RJ",7
"231",1998,"DEPUTADO ESTADUAL","PT","RN",1
"232",1998,"DEPUTADO ESTADUAL","PT","RO",2
"233",1998,"DEPUTADO ESTADUAL","PT","RS",12
"234",1998,"DEPUTADO ESTADUAL","PT","SC",5
"235",1998,"DEPUTADO ESTADUAL","PT","SE",1
"236",1998,"DEPUTADO ESTADUAL","PT","SP",14
"237",1998,"DEPUTADO ESTADUAL","PT do B","AL",1
"238",1998,"DEPUTADO ESTADUAL","PT do B","BA",1
"239",1998,"DEPUTADO ESTADUAL","PT do B","MA",1
"240",1998,"DEPUTADO ESTADUAL","PT do B","RJ",2
"241",1998,"DEPUTADO ESTADUAL","PTB","AL",7
"242",1998,"DEPUTADO ESTADUAL","PTB","AM",5
"243",1998,"DEPUTADO ESTADUAL","PTB","AP",1
"244",1998,"DEPUTADO ESTADUAL","PTB","BA",5
"245",1998,"DEPUTADO ESTADUAL","PTB","CE",2
"246",1998,"DEPUTADO ESTADUAL","PTB","ES",4
"247",1998,"DEPUTADO ESTADUAL","PTB","MA",1
"248",1998,"DEPUTADO ESTADUAL","PTB","MG",6
"249",1998,"DEPUTADO ESTADUAL","PTB","MS",4
"250",1998,"DEPUTADO ESTADUAL","PTB","MT",2
"251",1998,"DEPUTADO ESTADUAL","PTB","PA",3
"252",1998,"DEPUTADO ESTADUAL","PTB","PE",2
"253",1998,"DEPUTADO ESTADUAL","PTB","PR",11
"254",1998,"DEPUTADO ESTADUAL","PTB","RJ",2
"255",1998,"DEPUTADO ESTADUAL","PTB","RN",1
"256",1998,"DEPUTADO ESTADUAL","PTB","RO",2
"257",1998,"DEPUTADO ESTADUAL","PTB","RR",2
"258",1998,"DEPUTADO ESTADUAL","PTB","RS",10
