"","UF","NOME_MUNICIPIO"
"864","ES","Rio Novo do Sul"
"865","ES","Santa Leopoldina"
"866","ES","Santa Maria de Jetibá"
"867","ES","Santa Teresa"
"868","ES","São Domingos do Norte"
"869","ES","São Gabriel da Palha"
"870","ES","São José do Calçado"
"871","ES","São Mateus"
"872","ES","São Roque do Canaã"
"873","ES","Serra"
"874","ES","Sooretama"
"875","ES","Vargem Alta"
"876","ES","Venda Nova do Imigrante"
"877","ES","Viana"
"878","ES","Vila Pavão"
"879","ES","Vila Valério"
"880","ES","Vila Velha"
"881","ES","Vitória"
"882","GO","Abadia de Goiás"
"883","GO","Abadiânia"
"884","GO","Acreúna"
"885","GO","Adelândia"
"886","GO","Água Fria de Goiás"
"887","GO","Água Limpa"
"888","GO","Águas Lindas de Goiás"
"889","GO","Alexânia"
"890","GO","Aloândia"
"891","GO","Alto Horizonte"
"892","GO","Alto Paraíso de Goiás"
"893","GO","Alvorada do Norte"
"894","GO","Amaralina"
"895","GO","Americano do Brasil"
"896","GO","Amorinópolis"
"897","GO","Anápolis"
"898","GO","Anhanguera"
"899","GO","Anicuns"
"900","GO","Aparecida de Goiânia"
"901","GO","Aparecida do Rio Doce"
"902","GO","Aporé"
"903","GO","Araçu"
"904","GO","Aragarças"
"905","GO","Aragoiânia"
"906","GO","Araguapaz"
"907","GO","Arenópolis"
"908","GO","Aruanã"
"909","GO","Aurilândia"
"910","GO","Avelinópolis"
"911","GO","Baliza"
"912","GO","Barro Alto"
"913","GO","Bela Vista de Goiás"
"914","GO","Bom Jardim de Goiás"
"915","GO","Bom Jesus de Goiás"
"916","GO","Bonfinópolis"
"917","GO","Bonópolis"
"918","GO","Brazabrantes"
"919","GO","Britânia"
"920","GO","Buriti Alegre"
"921","GO","Buriti de Goiás"
"922","GO","Buritinópolis"
"923","GO","Cabeceiras"
"924","GO","Cachoeira Alta"
"925","GO","Cachoeira de Goiás"
"926","GO","Cachoeira Dourada"
"927","GO","Caçu"
"928","GO","Caiapônia"
"929","GO","Caldas Novas"
"930","GO","Caldazinha"
"931","GO","Campestre de Goiás"
"932","GO","Campinaçu"
"933","GO","Campinorte"
"934","GO","Campo Alegre de Goiás"
"935","GO","Campo Limpo de Goiás"
"936","GO","Campos Belos"
"937","GO","Campos Verdes"
"938","GO","Carmo do Rio Verde"
"939","GO","Castelândia"
"940","GO","Catalão"
"941","GO","Caturaí"
"942","GO","Cavalcante"
"943","GO","Ceres"
"944","GO","Cezarina"
"945","GO","Chapadão do Céu"
"946","GO","Cidade Ocidental"
"947","GO","Cocalzinho de Goiás"
"948","GO","Colinas do Sul"
"949","GO","Córrego do Ouro"
"950","GO","Corumbá de Goiás"
"951","GO","Corumbaíba"
"952","GO","Cristalina"
"953","GO","Cristianópolis"
"954","GO","Crixás"
"955","GO","Cromínia"
"956","GO","Cumari"
"957","GO","Damianópolis"
"958","GO","Damolândia"
"959","GO","Davinópolis"
"960","GO","Diorama"
"961","GO","Divinópolis de Goiás"
"962","GO","Doverlândia"
"963","GO","Edealina"
"964","GO","Edéia"
"965","GO","Estrela do Norte"
"966","GO","Faina"
"967","GO","Fazenda Nova"
"968","GO","Firminópolis"
"969","GO","Flores de Goiás"
"970","GO","Formosa"
"971","GO","Formoso"
